REPORTID,USERID,REQUESTTYPE,REPORTTYPEID,ADDEDBY,HOSTID,LATITUDE,LONGITUDE,RADIUSIMPACT,DESCRIPTION,PRICE,REPORTSTATUSID,DATE,TIME,CREATEDTIME,LASTMODIFIEDTIME,ADDRESS,TOTALNUMBERINJURED,TOTALNUMBERKILLED,VEHICLETYPECODE,,,,,,,,,,,,,,,,,,,,,
14010,,people double park their vehicles,,,,-71.07668,42.348858,,,,0,1/15/2016,21:35:35,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
14011,,people cross away from the crosswalks,,,,-71.1041,42.316975,,The SWC path has an outlet here right across from Stony Brook Station but there's no crosswalk.,,0,1/15/2016,21:39:17,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
14012,,people don't yield while going straight,,,,-71.10989,42.322063,,People driving out of the rotary and going onto Day St often don't yield to pedestrians in the crosswalk across Day St.,,0,1/15/2016,21:40:03,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
14013,,bike facilities don't exist or need improvement,,,,-71.111534,42.321,,"\An \""\""except bikes\""\"" under the Do Not Enter sign on Barbara St at S Huntington would be helpful so that Hubway users can get to the station easier.\""""",,0,1/15/2016,21:41:06,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
14014,,bike facilities don't exist or need improvement,,,,-71.08815,42.336124,,"Where is the southwest corridor bike path through here? It's supposedly on the sidewalk, but the parking garage and insane amount of pedestrians make it unusable. I often have to ride in the street here until the bike lane on Columbus Ave begins.",,0,1/15/2016,21:43:16,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
14015,,bike facilities don't exist or need improvement,,,,-71.089584,42.345097,,"Hemenway from Boylston to Westland is one way, but it's super wide. Can we get a two way cycle track?",,0,1/15/2016,21:44:09,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
14016,,it's too far / too many lanes to cross,,,,-71.093315,42.349895,,Huge wide open intersection,,0,1/15/2016,21:45:07,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
14017,,people don't yield while turning,,,,-71.07255,42.35543,,Cars from Storrow Drive don't yield when turning onto Arlington St.,,0,1/15/2016,21:50:03,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
14018,,of something that is not listed here,,,,-71.06476,42.343628,,Always traffic here. Remove one of the parking lanes full time!,,0,1/15/2016,21:52:49,,,,,,drives,,,,,,,,,,,,,,,,,,,,,
14019,,it's too far / too many lanes to cross,,,,-71.10258,42.343327,,It feels like it will take forever to get from the far side of Brookline ave to the far side of Boylston St. I should be able to cross these two streets in one go. I shouldn't have to stand on the island and wait another whole light cycle!,,0,1/15/2016,21:53:25,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
14020,,people run red lights / stop signs,,,,-71.07589,42.343918,,"You think they're going to stop but they usually coast. I think people have gotten used to the fact that both streets lead away from this intersection, so unless there is someone trying to cross, then there's no reason to stop.",,0,1/15/2016,21:54:06,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
14021,,it's too far / too many lanes to cross,,,,-71.09436,42.347164,,"The street is one lane in each direction with parking only on one side, yet it is at least 60ft wide. What gives?",,0,1/15/2016,21:55:15,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
14022,,it's too far / too many lanes to cross,,,,-71.105545,42.347527,,Super wide intersection for a relatively minor side street. Tighten it up!,,0,1/15/2016,21:56:02,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
14023,,people don't yield while going straight,,,,-71.10558,42.347622,,"The corners are so far set back that it's difficult for cars to see you waiting to cross. As a result, they don't stop for you.",,0,1/15/2016,21:56:58,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
14024,,it’s hard to see / low visibility,,,,-71.04426,42.338005,,"The geometry of this intersection makes visibility hard. The new one way on E First St helped a little, but there's a lot more that can be done, including hopefully a crosswalk.",,0,1/15/2016,21:58:22,,,,,,drives,,,,,,,,,,,,,,,,,,,,,
14025,,people double park their vehicles,,,,-71.0956,42.34879,,"the hotel valet always has cars double parked in this area, and it's very dangerous for cyclists!",,0,1/15/2016,22:26:29,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
14026,,people don't yield while turning,,,,-71.09784,42.344574,,it's very scary to walk through the intersection because the cars do not slow down while turning.,,0,1/15/2016,22:29:08,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
14407,,"\the wait for the \""\""Walk\""\"" signal is too long\""""",,,,-71.057205,42.359966,,"It takes a really long time to be able to cross the street, which is especially frustrating during the summer months when there are a lot of tourists.",,0,1/19/2016,14:39:16,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
14408,,people double park their vehicles,,,,-71.05632,42.342346,,"There is always double parking on both sides of the street for the coffee shops, yoga studio, etc. It's dangerous and annoying when I bike, drive, or bus.",,0,1/19/2016,14:44:47,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
14409,,it's too far / too many lanes to cross,,,,-71.105194,42.334034,,"An old woman tried to cross a parking lane, 2 travel lanes, 2 trolley tracks, and then 2 more travel lanes from The Mission towards the Santander. Her  carriage kept getting stuck on the tracks and I feared a turning vehicle would wipe her out!",,0,1/19/2016,14:46:18,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
14410,,sidewalks/ramps don't exist or need improvement,,,,-71.0636,42.35758,,"There's a statue that's a tourist attraction, a bus stop, and this is a good location to take picture of the State House. There's no room for people to safely stand!",,0,1/19/2016,14:47:23,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
14411,,the roadway surface needs improvement,,,,-71.11208,42.331993,,The divider island has sunk into the ground and there's poor signage about the left lane needing to turn left onto S Huntington. Cars always crash into the median and take out the signs.,,0,1/19/2016,14:47:49,,,,,,drives,,,,,,,,,,,,,,,,,,,,,
14412,,of something that is not listed here,,,,-71.06326,42.35768,,"Due to the length of the buses and the narrow street, they frequently run up on the sidewalk while turning. If you (the person walking) aren't careful you run the risk of being run over while being ON THE SIDEWALK.",,0,1/19/2016,14:49:55,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
14413,,people run red lights / stop signs,,,,-71.04846,42.35036,,There are constantly cars running the lights at this intersection.,,0,1/19/2016,14:50:09,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
14414,,people double park their vehicles,,,,-71.07135,42.34411,,"\The length of Tremont from E Berkeley all the way into Roxbury near Melnea Cass. \""\""Just need to stop for a second to run into the packie! Who cares if I'm in the way!?!\""\""\""""",,0,1/19/2016,14:50:47,,,,,,drives,,,,,,,,,,,,,,,,,,,,,
14415,,people double park their vehicles,,,,-71.08382,42.33739,,Papa John's and Hollywood Liquors,,0,1/19/2016,14:52:35,,,,,,drives,,,,,,,,,,,,,,,,,,,,,
14416,,sidewalks/ramps don't exist or need improvement,,,,-71.11498,42.325047,,No sidewalks or even a path along this road and this is through a park!,,0,1/19/2016,14:55:34,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
14417,,people speed,,,,-71.09998,42.33974,,People drive like they're in a road race. The physical landscape seems to support this behavior.,,0,1/19/2016,14:58:33,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
14418,,bike facilities don't exist or need improvement,,,,-71.090935,42.35382,,snow on the bike lanes make it really dangerous for bikers.,,0,1/19/2016,15:45:43,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
14419,,the roadway surface needs improvement,,,,-71.073746,42.350132,,"the road is extremely bumpy and uneven. There is almost no paint on the ground, which makes this area a free for all.",,0,1/19/2016,16:34:10,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
14420,,"\the wait for the \""\""Walk\""\"" signal is too long\""""",,,,-71.1533,42.338097,,Crossing Chestnut Hill and then Comm Ave according to the WALK signs takes 2 full cycles. It means I miss the train or have to stand in rain or snow for a long time.,,0,1/19/2016,16:40:08,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
15607,,bike facilities don't exist or need improvement,,,,-71.07133,42.33216,,"the roadway is super wide here with no lane markings so it's confusing where to ride and cars go super fast. Lots of trucks around here too. It's frightening, but the only way to go to get back to Mass Ave westbound.",,0,1/19/2016,22:14:26,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
15608,,"\the wait for the \""\""Walk\""\"" signal is too long\""""",,,,-71.067764,42.374245,,"As someone who walks from SE of the intersection, I have to make multiple crossings to get to the T station. It's obvious from experience that I can safely cross at times when it says not to walk. Update the signals.",,0,1/19/2016,22:55:29,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
15609,,people cross away from the crosswalks,,,,-71.06608,42.374767,,I'm one of those people. Many people walk north through the park and parking lot and want to cross directly to where a set of stairs have been installed for people to walk to the stores. Please add a crosswalk to make this midblock safer.,,0,1/19/2016,22:57:09,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
16007,,people speed,,,,-71.15298,42.34531,,,,0,1/19/2016,23:33:20,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
16008,,people don't yield while turning,,,,-71.070656,42.35192,,People do not understand which lane to move into when taking a left from Arlington onto Boylston.,,0,1/19/2016,23:39:45,,,,,,drives,,,,,,,,,,,,,,,,,,,,,
16407,,people cross away from the crosswalks,,,,-71.05994,42.358692,,I rarely use the crosswalk because the light holds the drivers back & if I take the time to walk to the crosswalk I'll have to wait another light cycle. There should be another crosswalk here to take people to the island.,,0,1/20/2016,21:28:27,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17607,,people run red lights / stop signs,,,,-71.08503,42.34282,,,,0,1/22/2016,14:12:28,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
17608,,it’s hard to see / low visibility,,,,-71.05149,42.289284,,"Traffic turning onto Ashmont from Newhall have a blind turn, needs signage.",,0,1/22/2016,14:39:59,,,,,,drives,,,,,,,,,,,,,,,,,,,,,
17609,,bike facilities don't exist or need improvement,,,,-71.05961,42.342224,,No safe way to get out of South Boston to the west.,,0,1/22/2016,14:41:09,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
17610,,of something that is not listed here,,,,-71.077324,42.34094,,People don't stop for pedestrians in the crosswalk.,,0,1/22/2016,14:59:06,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17611,,"\the wait for the \""\""Walk\""\"" signal is too long\""""",,,,-71.07656,42.341328,,People often give up and cross without waiting for the ped light.,,0,1/22/2016,14:59:36,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17612,,bike facilities don't exist or need improvement,,,,-71.066414,42.356903,,Climbing up Beacon Street is really uncomfortable for people who aren't very fit and comfortable holding the lane vs tour buses.,,0,1/22/2016,14:59:41,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
17613,,people don't yield while turning,,,,-71.07527,42.345882,,,,0,1/22/2016,15:00:11,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17614,,people don't yield while turning,,,,-71.07856,42.343212,,,,0,1/22/2016,15:00:35,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17615,,people don't yield while going straight,,,,-71.06803,42.351734,,"There's a crosswalk, but there's no traffic signal or stop sign so cars do not yield as they drive down Park Plaza road",,0,1/22/2016,15:02:43,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17616,,people run red lights / stop signs,,,,-71.107254,42.3389,,,,0,1/22/2016,15:05:56,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17617,,of something that is not listed here,,,,-71.08117,42.341087,,Cars do not stop at the crosswalk.,,0,1/22/2016,15:06:52,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17618,,people don't yield while turning,,,,-71.076385,42.348328,,,,0,1/22/2016,15:07:26,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17619,,people cross away from the crosswalks,,,,-71.0932,42.329685,,Should be another crosswalk for those heading to T station. Too difficult to see around curve in both directions to cross safely. Also people drive extremely fast on this street.,,0,1/22/2016,15:19:38,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17620,,people speed,,,,-71.05918,42.319275,,"Cars coming down Pleasant St. (a wide street) at full speed accelerate to make the Columbia Rd. light, as they enter narrower, kid-heavy Pond St. at E. Cottage and Edison Green.",,0,1/22/2016,15:19:54,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17621,,people speed,,,,-71.061165,42.375713,,Lots of people cross here from the monument to the museum and people speed down this street ignoring the crosswalk. I've also seen drivers watch one side of the street and ignore the other when negotiating the crosswalk.,,0,1/22/2016,15:20:47,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17622,,people speed,,,,-71.070564,42.29707,,"It's dangerous crossing Lindsey Street at the top of the street because drivers speed while making the turn from Greenbrier into Lindsey.When I've requested a stop sign, I have been told they can't put one in because it's not an intersection.",,0,1/22/2016,15:21:21,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17623,,people don't yield while going straight,,,,-71.061874,42.37596,,There isn't much vehicular traffic crossing here so people go relatively fast and don't check the cross street for the people walking and running up the hill who seem to appear out of nowhere.,,0,1/22/2016,15:22:43,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17624,,people speed,,,,-71.06767,42.344536,,People speed and incredibly dangerous to bike on without a bike lane or markings of any kind.  No need for 3 lanes of traffic here.,,0,1/22/2016,15:23:33,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
17625,,of something that is not listed here,,,,-71.060905,42.3438,,"Inadequate pedestrian/bicycle separation from traffic. Poor lighting, feels unsafe at night. Intersection is sometimes blocked with traffic, making crossing even more unsafe.",,0,1/22/2016,15:25:38,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17626,,of something that is not listed here,,,,-71.06148,42.3427,,"Inadequate pedestrian/bicycle separation from traffic. Poor lighting, feels unsafe at night. Intersection is sometimes blocked with traffic, making crossing even more unsafe.",,0,1/22/2016,15:26:04,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17627,,people don't yield while turning,,,,-71.06162,42.371185,,"The slip lane encourages people to treat the turn lane onto Chelsea Street like a highway on-ramp. Except for the moment when the light turns to red, people drive through the right turning movement without slowing down (even when the light is red).",,0,1/22/2016,15:26:33,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17628,,bike facilities don't exist or need improvement,,,,-71.061554,42.370975,,"The N. Wash. Bridge desperately needs bike lanes. The scariest is here where cars turning right make crazy maneuvers instead of just staying to the right. When I bike, I usually go straight and there's almost no way to do this safely.",,0,1/22/2016,15:28:39,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
17629,,people speed,,,,-71.0568,42.358868,,"Traffic moves too fast on Congress Street, particularly east on Congress towards PO Square.",,0,1/22/2016,15:29:30,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17630,,people speed,,,,-71.05993,42.3691,,"There is never a back-up on the N. Washington Bridge and it's amazing how fast people go. There are so many people who use the sidewalk on this side that I try to use the road, but the way people accelerate is crazy.",,0,1/22/2016,15:30:20,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
17631,,people cross away from the crosswalks,,,,-71.08726,42.327168,,Many people use St James Street as a throughway while walking/driving... nearest crosswalk is quite far. Many pedestrians cross haphazardly across Washington St which has fast traffic. Unsafe for ped and drivers. Multiple accidents here.,,0,1/22/2016,15:33:54,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17632,,of something that is not listed here,,,,-71.08675,42.326984,,This street is very narrow and on a one-way downhill but there's no winter parking ban. This creates a very dangerous situation in the snowy season and many parked cars have been hit.,,0,1/22/2016,15:35:16,,,,,,drives,,,,,,,,,,,,,,,,,,,,,
17633,,there's not enough time to cross the street,,,,-71.15337,42.338158,,,,0,1/22/2016,15:35:26,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17634,,"\the wait for the \""\""Walk\""\"" signal is too long\""""",,,,-71.085014,42.328873,,"Very high traffic pedestrian area (and increasing). Walk signal takes very long, and results in many pedestrians dashing across 4 busy lanes of traffic on Washington street.",,0,1/22/2016,15:37:20,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17635,,bike facilities don't exist or need improvement,,,,-71.09464,42.33145,,"Very busy bike path merges with pedestrian way, would help to have marked bike lanes to keep pedestrians alert of oncoming bikers.",,0,1/22/2016,15:39:05,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17636,,people don't yield while turning,,,,-71.107254,42.338894,,,,0,1/22/2016,15:39:52,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
17637,,people don't yield while turning,,,,-71.072296,42.3555,,"Drivers merge at very high speeds into the far left lane on Beacon street in order to turn left onto Arlington Street. They do not yield for bikers already in the left lane, and merge at very high speed.",,0,1/22/2016,15:49:12,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
17638,,people speed,,,,-71.077995,42.35394,,,,0,1/22/2016,15:54:59,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17639,,of something that is not listed here,,,,-71.06952,42.356163,,Cyclists who turn right from Charles St onto Beacon and intend to turn left onto Arlington have to contend with merging traffic and high speeds when crossing multiple lanes in order to get to the far left lane for the turn onto Arlington.,,0,1/22/2016,15:58:53,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
17640,,people don't yield while turning,,,,-71.06918,42.35618,,,,0,1/22/2016,16:01:42,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17641,,people double park their vehicles,,,,-71.09451,42.33043,,"People double park here at the corner, which forces drivers going up the hill to cross into the oncoming lane where drivers going down the hill cannot see them.",,0,1/22/2016,16:03:45,,,,,,drives,,,,,,,,,,,,,,,,,,,,,
17642,,it’s hard to see / low visibility,,,,-71.08983,42.327744,,,,0,1/22/2016,16:06:14,,,,,,drives,,,,,,,,,,,,,,,,,,,,,
17643,,of something that is not listed here,,,,-71.071,42.36106,,"Construction vehicles for the Longfellow Bridge repair block access from the bike lane (i.e., turning right from the bridge) onto Charles Street.",,0,1/22/2016,16:07:06,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
17644,,people speed,,,,-71.1299,42.297916,,This intersection would greatly benefit from a stop light. Centre street is very busy and people tend to drive very fast. It's also where a lot of cars are entering onto or exiting off of Centre Street into/out of Roslindale/Arboretum.,,0,1/22/2016,16:09:17,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17645,,of something that is not listed here,,,,-71.10651,42.315216,,"The street is too narrow, it allows parking on one side and its a two way street.  When your turning the corner from Chestnut Square to Glendale Ter, you cannot see a car coming up or down, and if cars are parked can cause a head on collision.",,0,1/22/2016,16:09:26,,,,,,drives,,,,,,,,,,,,,,,,,,,,,
17646,,people speed,,,,-71.070045,42.348736,,narrow street with narrow sidewalks right against the road. speeding cars pass within 3ft of walkers,,0,1/22/2016,16:10:07,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17647,,people speed,,,,-71.130005,42.285843,,This street needs speed bumps due to cars avoiding traffic on Washington St. and driving excessively fast down a residential street.,,0,1/22/2016,16:12:21,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17648,,people run red lights / stop signs,,,,-71.094444,42.33144,,the Tremont Street traffic primarily in the AM,,0,1/22/2016,16:12:56,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
17649,,people double park their vehicles,,,,-71.08181,42.340717,,,,0,1/22/2016,16:13:53,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
17650,,people don't yield while turning,,,,-71.14652,42.29655,,,,0,1/22/2016,16:16:39,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17651,,sidewalks/ramps don't exist or need improvement,,,,-71.06916,42.348034,,No sidewalk ramp,,0,1/22/2016,16:17:06,,,,,,uses an assistive device,,,,,,,,,,,,,,,,,,,,,
17652,,bike facilities don't exist or need improvement,,,,-71.08785,42.347343,,need a cycletrack,,0,1/22/2016,16:17:42,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
17653,,bike facilities don't exist or need improvement,,,,-71.075325,42.354664,,Beacon street should have a dedicated bike lane. It's wide enough and a major route for bikes.,,0,1/22/2016,16:18:38,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
17654,,sidewalks/ramps don't exist or need improvement,,,,-71.11247,42.262344,,"There are no sidewalks on this street, and it is busy because it is one of the few entrances to Ross Playground.",,0,1/22/2016,16:20:07,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17655,,of something that is not listed here,,,,-71.1402,42.348614,,"Funky traffic pattern, between service road and comm ave westbound, confusion in terms of cars taking rights yielding to service road.",,0,1/22/2016,16:20:11,,,,,,drives,,,,,,,,,,,,,,,,,,,,,
17656,,"\\""\"" src=\""\""images/10 - Hard to see.png\""\""></span>&nbsp;it’s hard to see / low visibility\""""",,,,-71.15253,42.33886,,"It's very hard to see the oncoming traffic and there's lots to worry about right here, because you're also crossing train tracks.",,0,1/22/2016,16:20:16,,,,,,drives,,,,,,,,,,,,,,,,,,,,,
17657,,"\\""\"" src=\""\""images/10 - Hard to see.png\""\""></span>&nbsp;it’s hard to see / low visibility\""""",,,,-71.152504,42.338856,,Very hard to see oncoming traffic and watch out for trains at same time. Very dangerous cross-through.,,0,1/22/2016,16:21:38,,,,,,drives,,,,,,,,,,,,,,,,,,,,,
17658,,it’s hard to see / low visibility,,,,-71.055374,42.29583,,"Cars park on both sides of Train Street and one side of Victory Road. Both streets are two-way streets, so it becomes very difficult to navigate when there are vehicles attempting to turn either onto Victory from Train or onto Train from Victory",,0,1/22/2016,16:21:39,,,,,,drives,,,,,,,,,,,,,,,,,,,,,
17659,,of something that is not listed here,,,,-71.03796,42.369675,,"There is NO crosswalk here. I requested one be installed almost a year ago, to no avail. Area is unsafe to cross. Cars park very close to the corners, thus making crossing safely impossible.",,0,1/22/2016,16:21:46,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17660,,people speed,,,,-71.06833,42.354084,,,,0,1/22/2016,16:21:59,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
17661,,it’s hard to see / low visibility,,,,-71.04902,42.35071,,"Vehicles are often parked (illegally?) on the NE corner of the intersection of Congress & Farnsworth (in front of Boston Fire Museum), making it difficult to see westbound traffic on Congress while entering from Farnsworth",,0,1/22/2016,16:22:47,,,,,,drives,,,,,,,,,,,,,,,,,,,,,
17662,,of something that is not listed here,,,,-71.09389,42.32815,,"The road is very narrow--not enough room for two-way traffic. It should either become a one-way street, or parking should be only on one side.",,0,1/22/2016,16:25:27,,,,,,drives,,,,,,,,,,,,,,,,,,,,,
17663,,"\the wait for the \""\""Walk\""\"" signal is too long\""""",,,,-71.05376,42.360798,,This intersection seems really dangerous because the wait is so long for a walk signal. Most people just jaywalk.,,0,1/22/2016,16:27:36,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17664,,bike facilities don't exist or need improvement,,,,-71.05617,42.356297,,"Buffered bike lane along curb -- people use this wide space to park illegally or as an added travel lane. Some sort of barrier, even cheap, removable bollards, would be an improvement and prevent people from violating this space.",,0,1/22/2016,16:27:57,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
17665,,people speed,,,,-71.111595,42.312428,,All along Green from Washiington to Centre.,,0,1/22/2016,16:29:57,,,,,,drives,,,,,,,,,,,,,,,,,,,,,
17666,,people run red lights / stop signs,,,,-71.08873,42.349323,,Very often several cars will run this red light as I am crossing Comm Ave on my way to work,,0,1/22/2016,16:31:46,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17667,,people double park their vehicles,,,,-71.081505,42.34082,,"The intersection with mass is always dicey and there are constantly trucks and cars double parked here, blocking the bike lane and forcing me into traffic.",,0,1/22/2016,16:37:31,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
17668,,people don't yield while going straight,,,,-71.039795,42.33011,,"despite signs, cars rarely yield to pedestrians at these crossings.  particularly challenging if one car stops for you but cars keep passing it in the other lane",,0,1/22/2016,16:39:30,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17669,,the roadway surface needs improvement,,,,-71.09563,42.321995,,High traffic road with many potholes,,0,1/22/2016,16:41:42,,,,,,drives,,,,,,,,,,,,,,,,,,,,,
17670,,of something that is not listed here,,,,-71.048615,42.340714,,At D street and west  first street lights driving towards the Seaport roadway marking better so right lane must turn right because at the light in the left lane you have to merge to the right to go straight and cross west first street.,,0,1/22/2016,16:45:54,,,,,,drives,,,,,,,,,,,,,,,,,,,,,
17671,,people double park their vehicles,,,,-71.10166,42.32284,,,,0,1/22/2016,16:46:47,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
17672,,"\the wait for the \""\""Walk\""\"" signal is too long\""""",,,,-71.05716,42.360313,,,,0,1/22/2016,16:57:13,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17673,,"\the wait for the \""\""Walk\""\"" signal is too long\""""",,,,-71.11097,42.35064,,Pedestrians trying to walk east on the northern side of Comm Ave wait for 2 diff walk signals. 1st when crossing Essex/Mountfort/BU Bridge from west to east then just to cross the access lane for cars to get on bridge.,,0,1/22/2016,17:00:25,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
17674,,of something that is not listed here,,,,-71.10547,42.34642,,Drivers in the Left turn only lane will go straight and cause accidents with drivers in the adjacent lane who also go straight in the same lane,,0,1/22/2016,17:01:16,,,,,,drives,,,,,,,,,,,,,,,,,,,,,
17675,,people speed,,,,-71.1477,42.341797,,"Cars drive extremely fast on the carriageway between Colborne and Leamington, which is a hill and makes it hard to see pedestrians and double-parked cars at such high speeds.",,0,1/22/2016,17:02:36,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
