INCIDENT,DATE,MODE,STATUS,location,COMMENTS
14414,2016-01-19T14:50:47.000Z,drives,Unassigned,"-71.071346590080324,42.34410680560439","\"The length of Tremont from E Berkeley all the way into Roxbury near Melnea Cass. \"\"Just need to stop for a second to run into the packie! Who cares if I'm in the way!?!\"\"\""
14415,2016-01-19T14:52:35.000Z,drives,Unassigned,"-71.083813497628213,42.337389889355016",Papa John's and Hollywood Liquors
14416,2016-01-19T14:55:34.000Z,walks,Unassigned,"-71.114981654033485,42.325045188405895",No sidewalks or even a path along this road and this is through a park!
14417,2016-01-19T14:58:33.000Z,walks,Unassigned,"-71.099984143821203,42.339740844484936",People drive like they're in a road race. The physical landscape seems to support this behavior.
14418,2016-01-19T15:45:43.000Z,bikes,Unassigned,"-71.0909383316923,42.353820678035817",snow on the bike lanes make it really dangerous for bikers.
14419,2016-01-19T16:34:10.000Z,bikes,Unassigned,"-71.073742677217425,42.350133835722815","the road is extremely bumpy and uneven. There is almost no paint on the ground, which makes this area a free for all."
14420,2016-01-19T16:40:08.000Z,walks,Unassigned,"-71.153299698516122,42.338097299494699",Crossing Chestnut Hill and then Comm Ave according to the WALK signs takes 2 full cycles. It means I miss the train or have to stand in rain or snow for a long time.
15607,2016-01-19T22:14:26.000Z,bikes,Unassigned,"-71.071328697436485,42.332161239690421","the roadway is super wide here with no lane markings so it's confusing where to ride and cars go super fast. Lots of trucks around here too. It's frightening, but the only way to go to get back to Mass Ave westbound."
15608,2016-01-19T22:55:29.000Z,walks,Unassigned,"-71.067764402476342,42.374243794838733","As someone who walks from SE of the intersection, I have to make multiple crossings to get to the T station. It's obvious from experience that I can safely cross at times when it says not to walk. Update the signals."
15609,2016-01-19T22:57:09.000Z,walks,Unassigned,"-71.066077292710915,42.374767900722077",I'm one of those people. Many people walk north through the park and parking lot and want to cross directly to where a set of stairs have been installed for people to walk to the stores. Please add a crosswalk to make this midblock safer.
16007,2016-01-19T23:33:20.000Z,walks,Unassigned,"-71.152977833048141,42.345311728692351",
16008,2016-01-19T23:39:45.000Z,drives,Unassigned,"-71.070657705326596,42.351920647537604",People do not understand which lane to move into when taking a left from Arlington onto Boylston.
16407,2016-01-20T21:28:27.000Z,walks,Unassigned,"-71.059937127182565,42.358693002163434",I rarely use the crosswalk because the light holds the drivers back & if I take the time to walk to the crosswalk I'll have to wait another light cycle. There should be another crosswalk here to take people to the island.
17607,2016-01-22T14:12:28.000Z,bikes,Unassigned,"-71.085032108125205,42.342818790202216",
17608,2016-01-22T14:39:59.000Z,drives,Unassigned,"-71.051493766605716,42.289285653327944","Traffic turning onto Ashmont from Newhall have a blind turn, needs signage."
17609,2016-01-22T14:41:09.000Z,bikes,Unassigned,"-71.059610130537706,42.34222403833104",No safe way to get out of South Boston to the west.
17610,2016-01-22T14:59:06.000Z,walks,Unassigned,"-71.077323439195027,42.340939356097913",People don't stop for pedestrians in the crosswalk.
17611,2016-01-22T14:59:36.000Z,walks,Unassigned,"-71.076561692088617,42.34132793564914",People often give up and cross without waiting for the ped light.
17612,2016-01-22T14:59:41.000Z,bikes,Unassigned,"-71.06641081292139,42.35690192399943",Climbing up Beacon Street is really uncomfortable for people who aren't very fit and comfortable holding the lane vs tour buses.
17613,2016-01-22T15:00:11.000Z,walks,Unassigned,"-71.075268867274417,42.345883653735413",
17614,2016-01-22T15:00:35.000Z,walks,Unassigned,"-71.078557255474848,42.343211322678002",
17615,2016-01-22T15:02:43.000Z,walks,Unassigned,"-71.068032267517651,42.351735422495473","There's a crosswalk, but there's no traffic signal or stop sign so cars do not yield as they drive down Park Plaza road"
17616,2016-01-22T15:05:56.000Z,walks,Unassigned,"-71.107256891785013,42.338901256959225",
17617,2016-01-22T15:06:52.000Z,walks,Unassigned,"-71.081167044631528,42.341088047797243",Cars do not stop at the crosswalk.
17618,2016-01-22T15:07:26.000Z,walks,Unassigned,"-71.076384665587156,42.348327903579495",
17619,2016-01-22T15:19:38.000Z,walks,Unassigned,"-71.093202116750987,42.329685368063544",Should be another crosswalk for those heading to T station. Too difficult to see around curve in both directions to cross safely. Also people drive extremely fast on this street.
17620,2016-01-22T15:19:54.000Z,walks,Unassigned,"-71.059180977478675,42.319274230546739","Cars coming down Pleasant St. (a wide street) at full speed accelerate to make the Columbia Rd. light, as they enter narrower, kid-heavy Pond St. at E. Cottage and Edison Green."
17621,2016-01-22T15:20:47.000Z,walks,Unassigned,"-71.061165437688018,42.375712652661321",Lots of people cross here from the monument to the museum and people speed down this street ignoring the crosswalk. I've also seen drivers watch one side of the street and ignore the other when negotiating the crosswalk.
17622,2016-01-22T15:21:21.000Z,walks,Unassigned,"-71.070564272452202,42.297069950158836","It's dangerous crossing Lindsey Street at the top of the street because drivers speed while making the turn from Greenbrier into Lindsey.When I've requested a stop sign, I have been told they can't put one in because it's not an intersection."
17623,2016-01-22T15:22:43.000Z,walks,Unassigned,"-71.061873540998931,42.375961820489017",There isn't much vehicular traffic crossing here so people go relatively fast and don't check the cross street for the people walking and running up the hill who seem to appear out of nowhere.
17624,2016-01-22T15:23:33.000Z,bikes,Unassigned,"-71.067672850674157,42.344535607710519",People speed and incredibly dangerous to bike on without a bike lane or markings of any kind.  No need for 3 lanes of traffic here.
17625,2016-01-22T15:25:38.000Z,walks,Unassigned,"-71.060905637721319,42.343800117460582","Inadequate pedestrian/bicycle separation from traffic. Poor lighting, feels unsafe at night. Intersection is sometimes blocked with traffic, making crossing even more unsafe."
17626,2016-01-22T15:26:04.000Z,walks,Unassigned,"-71.0614743090254,42.34270069241866","Inadequate pedestrian/bicycle separation from traffic. Poor lighting, feels unsafe at night. Intersection is sometimes blocked with traffic, making crossing even more unsafe."
17627,2016-01-22T15:26:33.000Z,walks,Unassigned,"-71.06162095360564,42.371184362651348","The slip lane encourages people to treat the turn lane onto Chelsea Street like a highway on-ramp. Except for the moment when the light turns to red, people drive through the right turning movement without slowing down (even when the light is red)."
17628,2016-01-22T15:28:39.000Z,bikes,Unassigned,"-71.061556580332393,42.370974312648535","The N. Wash. Bridge desperately needs bike lanes. The scariest is here where cars turning right make crazy maneuvers instead of just staying to the right. When I bike, I usually go straight and there's almost no way to do this safely."
17629,2016-01-22T15:29:30.000Z,walks,Unassigned,"-71.056804540090113,42.358867025647406","Traffic moves too fast on Congress Street, particularly east on Congress towards PO Square."
17630,2016-01-22T15:30:20.000Z,bikes,Unassigned,"-71.059931161470786,42.369099683969772","There is never a back-up on the N. Washington Bridge and it's amazing how fast people go. There are so many people who use the sidewalk on this side that I try to use the road, but the way people accelerate is crazy."
17631,2016-01-22T15:33:54.000Z,walks,Unassigned,"-71.087258340910083,42.327167021856908",Many people use St James Street as a throughway while walking/driving... nearest crosswalk is quite far. Many pedestrians cross haphazardly across Washington St which has fast traffic. Unsafe for ped and drivers. Multiple accidents here.
17632,2016-01-22T15:35:16.000Z,drives,Unassigned,"-71.086743357418939,42.326984586979187",This street is very narrow and on a one-way downhill but there's no winter parking ban. This creates a very dangerous situation in the snowy season and many parked cars have been hit.
17633,2016-01-22T15:35:26.000Z,walks,Unassigned,"-71.153372111711164,42.33815777041827",
17634,2016-01-22T15:37:20.000Z,walks,Unassigned,"-71.085016014806897,42.328872369704705","Very high traffic pedestrian area (and increasing). Walk signal takes very long, and results in many pedestrians dashing across 4 busy lanes of traffic on Washington street."
17635,2016-01-22T15:39:05.000Z,walks,Unassigned,"-71.094639780531708,42.331450132861136","Very busy bike path merges with pedestrian way, would help to have marked bike lanes to keep pedestrians alert of oncoming bikers."
17636,2016-01-22T15:39:52.000Z,bikes,Unassigned,"-71.107251527046145,42.33889332600797",
17637,2016-01-22T15:49:12.000Z,bikes,Unassigned,"-71.07229832008953,42.355499039798211","Drivers merge at very high speeds into the far left lane on Beacon street in order to turn left onto Arlington Street. They do not yield for bikers already in the left lane, and merge at very high speed."
17638,2016-01-22T15:54:59.000Z,walks,Unassigned,"-71.077993991130455,42.353939606652567",
17639,2016-01-22T15:58:53.000Z,bikes,Unassigned,"-71.06952187098976,42.356162084978088",Cyclists who turn right from Charles St onto Beacon and intend to turn left onto Arlington have to contend with merging traffic and high speeds when crossing multiple lanes in order to get to the far left lane for the turn onto Arlington.
17640,2016-01-22T16:01:42.000Z,walks,Unassigned,"-71.069180252467007,42.356179390333459",
17641,2016-01-22T16:03:45.000Z,drives,Unassigned,"-71.094514090952089,42.330430145501637","People double park here at the corner, which forces drivers going up the hill to cross into the oncoming lane where drivers going down the hill cannot see them."
17642,2016-01-22T16:06:14.000Z,drives,Unassigned,"-71.089824838456593,42.32774466605251",
17643,2016-01-22T16:07:06.000Z,bikes,Unassigned,"-71.070999768515421,42.361061762388815","Construction vehicles for the Longfellow Bridge repair block access from the bike lane (i.e., turning right from the bridge) onto Charles Street."
17644,2016-01-22T16:09:17.000Z,walks,Unassigned,"-71.129894736083813,42.29791510191405",This intersection would greatly benefit from a stop light. Centre street is very busy and people tend to drive very fast. It's also where a lot of cars are entering onto or exiting off of Centre Street into/out of Roslindale/Arboretum.
17645,2016-01-22T16:09:26.000Z,drives,Unassigned,"-71.10650587325803,42.315216395539075","The street is too narrow, it allows parking on one side and its a two way street.  When your turning the corner from Chestnut Square to Glendale Ter, you cannot see a car coming up or down, and if cars are parked can cause a head on collision."
17646,2016-01-22T16:10:07.000Z,walks,Unassigned,"-71.070045330085605,42.348735115840519",narrow street with narrow sidewalks right against the road. speeding cars pass within 3ft of walkers
17647,2016-01-22T16:12:21.000Z,walks,Unassigned,"-71.130002024573145,42.285843831725536",This street needs speed bumps due to cars avoiding traffic on Washington St. and driving excessively fast down a residential street.
17648,2016-01-22T16:12:56.000Z,bikes,Unassigned,"-71.094441296871366,42.331440218661356",the Tremont Street traffic primarily in the AM
17649,2016-01-22T16:13:53.000Z,bikes,Unassigned,"-71.08180654809577,42.34071730956186",
17650,2016-01-22T16:16:39.000Z,walks,Unassigned,"-71.146524431268446,42.29655015652849",
17651,2016-01-22T16:17:06.000Z,uses an assistive device,Unassigned,"-71.069159307347832,42.348034519636869",No sidewalk ramp
17652,2016-01-22T16:17:42.000Z,bikes,Unassigned,"-71.087854303930825,42.347344664524918",need a cycletrack
17653,2016-01-22T16:18:38.000Z,bikes,Unassigned,"-71.075327875808824,42.354665067735432",Beacon street should have a dedicated bike lane. It's wide enough and a major route for bikes.
17654,2016-01-22T16:20:07.000Z,walks,Unassigned,"-71.112469218897402,42.262345353976855","There are no sidewalks on this street, and it is busy because it is one of the few entrances to Ross Playground."
17655,2016-01-22T16:20:11.000Z,drives,Unassigned,"-71.140200982472692,42.348612089689794","Funky traffic pattern, between service road and comm ave westbound, confusion in terms of cars taking rights yielding to service road."
17656,2016-01-22T16:20:16.000Z,drives,Unassigned,"-71.152529161394639,42.338860947477372","It's very hard to see the oncoming traffic and there's lots to worry about right here, because you're also crossing train tracks."
17657,2016-01-22T16:21:38.000Z,drives,Unassigned,"-71.152507704235774,42.338856981999278",Very hard to see oncoming traffic and watch out for trains at same time. Very dangerous cross-through.
17658,2016-01-22T16:21:39.000Z,drives,Unassigned,"-71.055377904027836,42.295827993173631","Cars park on both sides of Train Street and one side of Victory Road. Both streets are two-way streets, so it becomes very difficult to navigate when there are vehicles attempting to turn either onto Victory from Train or onto Train from Victory"
17659,2016-01-22T16:21:46.000Z,walks,Unassigned,"-71.037959339801731,42.369673884697093","There is NO crosswalk here. I requested one be installed almost a year ago, to no avail. Area is unsafe to cross. Cars park very close to the corners, thus making crossing safely impossible."
17660,2016-01-22T16:21:59.000Z,bikes,Unassigned,"-71.068332138634204,42.354083985766565",
17661,2016-01-22T16:22:47.000Z,drives,Unassigned,"-71.049015405466676,42.350712592104657","Vehicles are often parked (illegally?) on the NE corner of the intersection of Congress & Farnsworth (in front of Boston Fire Museum), making it difficult to see westbound traffic on Congress while entering from Farnsworth"
17662,2016-01-22T16:25:27.000Z,drives,Unassigned,"-71.093888762004724,42.328150577116737","The road is very narrow--not enough room for two-way traffic. It should either become a one-way street, or parking should be only on one side."
17663,2016-01-22T16:27:36.000Z,walks,Unassigned,"-71.053757550766107,42.360797453707427",This intersection seems really dangerous because the wait is so long for a walk signal. Most people just jaywalk.
17664,2016-01-22T16:27:57.000Z,bikes,Unassigned,"-71.056166174791343,42.3562983144867","Buffered bike lane along curb -- people use this wide space to park illegally or as an added travel lane. Some sort of barrier, even cheap, removable bollards, would be an improvement and prevent people from violating this space."
17665,2016-01-22T16:29:57.000Z,drives,Unassigned,"-71.111594023553764,42.312428525298422",All along Green from Washiington to Centre.
17666,2016-01-22T16:31:46.000Z,walks,Unassigned,"-71.088732865261846,42.349322004613668",Very often several cars will run this red light as I am crossing Comm Ave on my way to work
17667,2016-01-22T16:37:31.000Z,bikes,Unassigned,"-71.081507684888948,42.340820402883715","The intersection with mass is always dicey and there are constantly trucks and cars double parked here, blocking the bike lane and forcing me into traffic."
17668,2016-01-22T16:39:30.000Z,walks,Unassigned,"-71.039793970903105,42.3301097087787","despite signs, cars rarely yield to pedestrians at these crossings.  particularly challenging if one car stops for you but cars keep passing it in the other lane"
17669,2016-01-22T16:41:42.000Z,drives,Unassigned,"-71.095626833196221,42.321995174021161",High traffic road with many potholes
17670,2016-01-22T16:45:54.000Z,drives,Unassigned,"-71.048613073407125,42.340713344200886",At D street and west  first street lights driving towards the Seaport roadway marking better so right lane must turn right because at the light in the left lane you have to merge to the right to go straight and cross west first street.
17671,2016-01-22T16:46:47.000Z,bikes,Unassigned,"-71.101661803309824,42.322841974423589",
17672,2016-01-22T16:57:13.000Z,walks,Unassigned,"-71.057155909825283,42.36031187949073",
17673,2016-01-22T17:00:25.000Z,walks,Unassigned,"-71.110966386834406,42.35064023971573",Pedestrians trying to walk east on the northern side of Comm Ave wait for 2 diff walk signals. 1st when crossing Essex/Mountfort/BU Bridge from west to east then just to cross the access lane for cars to get on bridge.
17674,2016-01-22T17:01:16.000Z,drives,Unassigned,"-71.105465175899695,42.346418898652274",Drivers in the Left turn only lane will go straight and cause accidents with drivers in the adjacent lane who also go straight in the same lane
17675,2016-01-22T17:02:36.000Z,walks,Unassigned,"-71.14769400273407,42.341796448823402","Cars drive extremely fast on the carriageway between Colborne and Leamington, which is a hill and makes it hard to see pedestrians and double-parked cars at such high speeds."
17676,2016-01-22T17:04:53.000Z,bikes,Unassigned,"-71.025483185894586,42.380022568510277","We need a connection from the EB greenway to the chelsea creek watefront - e.g. condor street. If I'm tryng to get to Chelsea or beyond, I go from fantastic infrastructure to one of the hardest intersections to cross."
17677,2016-01-22T17:05:04.000Z,walks,Unassigned,"-71.146980534684275,42.341804378744541","No one stops at this stop sign. It is very hard to see over parked cars, especially since drivers come up and over a hill just before the intersection."
17678,2016-01-22T17:05:25.000Z,drives,Unassigned,"-71.10515814251535,42.34663162207093",
17679,2016-01-22T17:05:52.000Z,walks,Unassigned,"-71.148648868761953,42.341788518901318","No one stops at this stop sign. It is very hard to see over parked cars, especially since drivers are coming down a hill."
17680,2016-01-22T17:06:08.000Z,walks,Unassigned,"-71.055297707829155,42.288109504512818",almost everyone who parks on the west side of adamds south of ashmont parks on the sidewalk and obstructs nearly half of the walking space. i have nearly been hit multiple times by people pulling up and over the curb.
17681,2016-01-22T17:12:36.000Z,walks,Unassigned,"-71.079490664343837,42.324121077410787",Two Crosswalks are needed at the park near Moreland St. Moreland is the only two way street for several blocks and gets all the traffic.  Crosswalks would help children and adults cross to the park
17682,2016-01-22T17:12:40.000Z,drives,Unassigned,"-71.148595097405675,42.336351556656133",dangerous to cross tracks and see around the corner.
17683,2016-01-22T17:12:56.000Z,drives,Unassigned,"-71.167678128462143,42.351131980449559",
17684,2016-01-22T17:14:17.000Z,bikes,Unassigned,"-71.056726755867984,42.31480286227351","People visiting the Ba Le double park all day 7 days a week with the problem growing exponentially during the weekends. Cars block the travel lanes, bike lanes, and often will live park blocking both Hallam and St Williams streets."
17685,2016-01-22T17:14:47.000Z,drives,Unassigned,"-71.083224298921579,42.325969285162827",You have to delay when the light turns green at Moreland and Warren because of all the Warren St. drivers running the light.
17686,2016-01-22T17:15:20.000Z,walks,Unassigned,"-71.129605057252462,42.287202048574997",This is an important crossing for pedestrians who live across the train tracks from Roslindale Square. The traffic light has a pedestrian light but drivers often run the red light when turning from South St. onto Belgrade Ave.
17687,2016-01-22T17:15:46.000Z,walks,Unassigned,"-71.066970112102126,42.326889402777155","As soon as the walk light is on, cars want to turn into you and it's dangerous to cross Mass Ave!"
17688,2016-01-22T17:16:59.000Z,drives,Unassigned,"-71.143173543680447,42.343896461237279",
17689,2016-01-22T17:17:21.000Z,drives,Unassigned,"-71.142645148342126,42.343599091434136",
17690,2016-01-22T17:17:47.000Z,drives,Unassigned,"-71.143232552214826,42.343924215361788",
17691,2016-01-22T17:17:59.000Z,drives,Unassigned,"-71.142578093597734,42.343561424213163",
17692,2016-01-22T17:18:29.000Z,bikes,Unassigned,"-71.104478123235182,42.346775726507666",This stretch is so bad I bike less b/c of it. Sharrows do not work here. No good alt routes from Coolidge corner area to downtown. Cycletracks would b nice. Does traffic volume really warrant 2 lanes in both directions? Bike safety before parking.
17693,2016-01-22T17:18:56.000Z,walks,Unassigned,"-71.130042257419774,42.287086961827605","This is a completely logical place for pedestrians to cross Belgrade Ave, but there is no crosswalk. Perhaps a crosswalk could be added and a pedestrian signal that is coordinated with the signal at South St and Belgrade Ave."
17694,2016-01-22T17:19:12.000Z,elderly,Unassigned,"-71.062909248215846,42.350906851646265","\"Not enough time to cross 4 lanes and a median going straight up Washington across Kneeland Street - crosswalk begins blinking \"\"Don't Walk\"\" before I reach median. This area has a lot of tourists"
17695,2016-01-22T17:19:30.000Z,walks,Unassigned,"-71.081722261867611,42.345388051617","\"Pedestrians are signaled to \"\"walk\"\" at the same time traffic is signaled to \"\"turn left\"\" on Huntington Ave from Belvediere St as well as traffic turning right from West Newton Street onto Huntington Ave.\""
17696,2016-01-22T17:19:41.000Z,walks,Unassigned,"-71.053615393270718,42.311561938089483",Drivers cutting through Savin Hill fly over the bridge and down toward Dorchester ave. A raised crosswalk would force drivers to slow and improve safety for pedestrians.
17697,2016-01-22T17:21:25.000Z,walks,Unassigned,"-71.064330818678258,42.353229994820275",Movie theater.  All  the    time.
17698,2016-01-22T17:22:05.000Z,drives,Unassigned,"-71.143278149800338,42.343952961427178",
17699,2016-01-22T17:22:16.000Z,bikes,Unassigned,"-71.100283148063511,42.347953243794741",Does there really need to be 2 lanes of traffic in both directions on this bridge? Seems like a relic of the 1950s highway era. I hardly see much traffic even during rush hour.
17700,2016-01-22T17:23:46.000Z,bikes,Unassigned,"-71.137340548080374,42.353594712446473",This intersection is huge and unless you are right up at the front of traffic its hard to go Westbound from Brighton Avenue to Cambridge Street
17701,2016-01-22T17:23:55.000Z,drives,Unassigned,"-71.087934257584379,42.330522149949267","Parents double park and make U-turns.  Teachers,too.  These are visitors dropping off their kids. BPS needs a literature campaign about safe drop offs New traffic light and B2 police detail are good though !"
17702,2016-01-22T17:25:48.000Z,bikes,Unassigned,"-71.101742269901422,42.347568670119841",Many issues here. Outbound drivers making a right onto Mountfort do not yield to bikes; bike lane ends right where drivers are speeding downhill; cars crossing from Maitland to Mountford should not be allowed.
17703,2016-01-22T17:28:08.000Z,walks,Unassigned,"-71.063102367137319,42.346297973300587","Crosswalk needs improvement now with more car & ped traffic due to new Whole Foods - I push button, wait for crosswalk, never comes, so I cross on my own despite cars speeding up to highway ramps"
17704,2016-01-22T17:28:16.000Z,walks,Unassigned,"-71.137549760320169,42.353610569975196",There is also too long of a wait and loo many legs to cross at once.
17705,2016-01-22T17:30:04.000Z,walks,Unassigned,"-71.150129320197948,42.344521730452783",
17706,2016-01-22T17:30:51.000Z,bikes,Unassigned,"-71.092064859482761,42.348817535246596",Having to cross two lanes of speeding traffic to access to the left side bike lane is TERRIFYING and dangerous. It doesn't work for anyone--drivers and bicyclists alike.
17707,2016-01-22T17:30:52.000Z,bikes,Unassigned,"-71.054468101986174,42.356296266578696",the hotel is a terrible offender. livery vehicles completely disregard the bike lane - even when the paint is visible (it was eradicated last winter by plow scraping)
17708,2016-01-22T17:38:04.000Z,bikes,Unassigned,"-71.068895938374524,42.352207188087412","Let's revive the public garden cycle track idea! But at the very least, we need some kind of inbound bike lane on Boylston."
17709,2016-01-22T17:38:44.000Z,drives,Unassigned,"-71.055363959479678,42.357794198862294","the intersection is completely uncontrolled - no stop sign, no yield sign, no signal. we need something here for the safety of all modes. if there is a control device, it is not clear at all who has the right of way."
17710,2016-01-22T17:39:04.000Z,walks,Unassigned,"-71.1143530156926,42.301924511910414",Following the removal of this crosswalk across New Washington Street due to Arborway construction pedestrians continue to cross here and put themselves in danger.  Why has this not been replaced?
17711,2016-01-22T17:39:18.000Z,drives,Unassigned,"-71.06386947898261,42.300986121358697","The road is too way, but is far too narrow."
17712,2016-01-22T17:39:26.000Z,drives,Unassigned,"-71.069400193286228,42.350577799091674","Valet vehicles always take up space, despite the fact that this might be the largest valet zone in the City!"
17713,2016-01-22T17:42:37.000Z,drives,Unassigned,"-71.068890573635642,42.350998034787459",This isn't a loading dock. Huge trucks shouldn't be backing in up against the curb blocking both travel lanes and having people squeeze by in the parking lane.
17714,2016-01-22T17:42:46.000Z,bikes,Unassigned,"-71.088626267576984,42.343817960043026","There was talk of a cycle track on Westland Ave after it was repaved, but this has not yet materialized. Let's make it happen :)"
17715,2016-01-22T17:44:59.000Z,bikes,Unassigned,"-71.087143006210752,42.346070494114407","The pavement conditions in this stretch of mass Ave are especially dangerous, especially in the marked bicycle lane"
17716,2016-01-22T17:46:38.000Z,walks,Unassigned,"-71.057163956035282,42.342874300054383","Everyone knows and says this intersection is just a disaster to drive or walk in. Hold a retreat somewhere out in the woods and come up with a way to fix it. It just doesn't work, especially for pedestrians."
